ID_author,ID_paper,link,name,organization
81,22,https://scholar.google.com/citations?user=CQgKvccAAAAJ&hl=de&oi=sra,Dimitri von Rütte,ETH Zurich
82,23,https://scholar.google.com/citations?user=nMfflL0AAAAJ&hl=de&oi=sra,Karan Singhal,Google Research
83,23,https://scholar.google.com/citations?user=BkRk4FwAAAAJ&hl=de&oi=sra,Shekoofeh Azizi,Google
84,23,https://scholar.google.com/citations?user=VlR6u4AAAAAJ&hl=de&oi=sra,Tao Tu,Columbia University
85,23,https://scholar.google.com/citations?user=cA0ELoQAAAAJ&hl=de&oi=sra,S. Sara Mahdavi,Google
87,23,https://scholar.google.com/citations?user=1CAlXvYAAAAJ&hl=de&oi=sra,Hyung Won Chung,Startseite
88,24,https://scholar.google.com/citations?user=5fU-QMwAAAAJ&hl=de&oi=sra,Mark Chen,Organization not found
89,24,https://scholar.google.com/citations?user=ZPuESCQAAAAJ&hl=de&oi=sra,Jerry Tworek,Startseite
90,24,https://scholar.google.com/citations?user=B059m2EAAAAJ&hl=de&oi=sra,Qiming Yuan,Organization not found
96,26,https://scholar.google.com/citations?user=KpkgqOsAAAAJ&hl=de&oi=sra,Takeshi Kojima,Organization not found
98,26,https://scholar.google.com/citations?user=N8ctPiIAAAAJ&hl=de&oi=sra,Machel Reid,Google
99,26,https://scholar.google.com/citations?user=Dy8iau4AAAAJ&hl=de&oi=sra,Yutaka Matsuo,University of Tokyo
100,27,https://scholar.google.com/citations?user=8slGl3oAAAAJ&hl=de&oi=sra,Abubakar Abid,Stanford University
101,27,https://scholar.google.com/citations?user=T6RvNDgAAAAJ&hl=de&oi=sra,Maheen Farooqi,Stanford University
102,27,https://scholar.google.com/citations?user=23ZXZvEAAAAJ&hl=de&oi=sra,James Zou,Stanford University
103,28,https://scholar.google.com/citations?user=dENNKrsAAAAJ&hl=de&oi=sra,Deyao Zhu,Startseite
104,28,https://scholar.google.com/citations?user=9G2OQmkAAAAJ&hl=de&oi=sra,Jun Chen,Startseite
106,28,https://scholar.google.com/citations?user=4Apl5FgAAAAJ&hl=de&oi=sra,Xiang Li,KAUST
107,28,https://scholar.google.com/citations?user=iRBUTOAAAAAJ&hl=de&oi=sra,"Mohamed Elhoseiny, Ph.D.",KAUST
108,29,https://scholar.google.com/citations?user=35M6rhsAAAAJ&hl=de&oi=sra,Yongchao Zhou,University of Toronto
109,29,https://scholar.google.com/citations?user=Zb0NwBUAAAAJ&hl=de&oi=sra,Andrei Ioan Muresanu,Organization not found
110,29,https://scholar.google.com/citations?user=Jmbr0B8AAAAJ&hl=de&oi=sra,Ziwen Han,University of Toronto
112,29,https://scholar.google.com/citations?user=oYlo1ycAAAAJ&hl=de&oi=sra,Silviu Pitis,University of Toronto
114,30,https://scholar.google.com/citations?user=T6s-QEkAAAAJ&hl=de&oi=sra,Junjie Zhang,Renmin University of China
115,30,https://scholar.google.com/citations?user=kuDk8A4AAAAJ&hl=de&oi=sra,Zihan Lin,Organization not found
116,30,https://scholar.google.com/citations?user=j3OX8KUAAAAJ&hl=de&oi=sra,Ruobing Xie,Startseite
117,30,https://scholar.google.com/citations?user=icbo4M0AAAAJ&hl=de&oi=sra,Julian McAuley,UC San Diego
118,31,https://scholar.google.com/citations?user=W7mUggsAAAAJ&hl=de&oi=sra,Yiheng Liu,Shaanxi Normal University
119,32,https://scholar.google.com/citations?user=-lnWdScAAAAJ&hl=de&oi=sra,Stefan Hegselmann,University of Münster
120,32,https://scholar.google.com/citations?user=okjycNEAAAAJ&hl=de&oi=sra,Alejandro Buendia,Columbia University
121,32,https://scholar.google.com/citations?user=_xWMxrQAAAAJ&hl=de&oi=sra,Hunter Lang,MIT
122,33,https://scholar.google.com/citations?user=2eADy_8AAAAJ&hl=de&oi=sra,Edward Hu,Startseite
123,33,https://scholar.google.com/citations?user=S6OFEFEAAAAJ&hl=de&oi=sra,Yelong Shen,Microsoft
124,33,https://scholar.google.com/citations?user=8IqHSXYAAAAJ&hl=de&oi=sra,Phillip Wallis,Amazon
125,33,https://scholar.google.com/citations?user=MoJFIiQAAAAJ&hl=de&oi=sra,Zeyuan Allen-Zhu （朱澤園）,Startseite
126,33,https://scholar.google.com/citations?user=aHtfItQAAAAJ&hl=de&oi=sra,Yuanzhi Li,CMU
127,34,https://scholar.google.com/citations?user=qJBXk9cAAAAJ&hl=de&oi=sra,Shunyu Yao,Princeton University
128,34,https://scholar.google.com/citations?user=VyGrp0QAAAAJ&hl=de&oi=sra,Dian Yu,Google
129,34,https://scholar.google.com/citations?user=LIG-4BcAAAAJ&hl=de&oi=sra,Jeffrey Zhao,Google
130,34,https://scholar.google.com/citations?user=4gVbilMMp-AC&hl=de&oi=sra,Izhak Shafran,OHSU
131,35,https://scholar.google.com/citations?user=Hm4XL1AAAAAJ&hl=de&oi=sra,Caleb Ziems,Stanford University
132,35,https://scholar.google.com/citations?user=SP9VJNkAAAAJ&hl=de&oi=sra,William Held,Startseite
133,35,https://scholar.google.com/citations?user=vdPcthgAAAAJ&hl=de&oi=sra,Omar Shaikh,Stanford University
134,35,https://scholar.google.com/citations?user=Pi9IVvUAAAAJ&hl=de&oi=sra,Jiaao Chen,Georgia Institute of Technology
135,35,https://scholar.google.com/citations?user=QG-BAGwAAAAJ&hl=de&oi=sra,Zhehao Zhang,Dartmouth College
136,36,https://scholar.google.com/citations?user=8osGCyAAAAAJ&hl=de&oi=sra,Erik Nijkamp,Startseite
137,36,https://scholar.google.com/citations?user=s9fNEVEAAAAJ&hl=de&oi=sra,BO PANG,UCLA
138,36,https://scholar.google.com/citations?user=dhdP1fIAAAAJ&hl=de&oi=sra,Hiroaki Hayashi,Startseite
139,36,https://scholar.google.com/citations?user=nSJrzBwAAAAJ&hl=de&oi=sra,Lifu Tu,Startseite
140,36,https://scholar.google.com/citations?user=7NpTttkAAAAJ&hl=de&oi=sra,Huan Wang,Startseite
142,37,https://scholar.google.com/citations?user=qZYvce8AAAAJ&hl=de&oi=sra,Haiyang Xu,SEU
143,37,https://scholar.google.com/citations?user=bS8Ku4MAAAAJ&hl=de&oi=sra,Guohai Xu,Organization not found
144,37,https://scholar.google.com/citations?user=6KltFMAAAAAJ&hl=de&oi=sra,Yiyang Zhou,Xi’an Jiaotong University
145,37,https://scholar.google.com/citations?user=m4ro0NsAAAAJ&hl=de&oi=sra,Junyang Wang,Beijing Jiaotong University
147,38,https://scholar.google.com/citations?user=GLMKUEwAAAAJ&hl=de&oi=sra,Qingfeng Sun,Microsoft
148,38,https://scholar.google.com/citations?user=dxjqLjsAAAAJ&hl=de&oi=sra,Kai Zheng,Microsoft
150,38,https://scholar.google.com/citations?user=G3kyd-MAAAAJ&hl=de&oi=sra,Pu Zhao,Organization not found
151,38,https://scholar.google.com/citations?user=uYHmew8AAAAJ&hl=de&oi=sra,Jiazhan Feng,Peking University
